"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=1 Ack=1 Win=65260 Len=0"
"2","0.204160","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=1 Ack=1 Win=65260 Len=1"
"3","0.207062","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=1 Ack=2 Win=65381 Len=4"
"4","0.308093","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=2 Ack=5 Win=65256 Len=0"
"5","0.394338","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=1 Ack=1 Win=65472 Len=5"
"6","0.434845","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=6 Win=64707 Len=0"
"7","0.511228","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=2 Ack=5 Win=65256 Len=1"
"8","0.513945","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=5 Ack=3 Win=65380 Len=4"
"9","0.622258","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=3 Ack=9 Win=65252 Len=0"
"10","0.803950","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=3 Ack=9 Win=65252 Len=1"
"11","0.845044","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=9 Ack=4 Win=65379 Len=0"
"12","0.926303","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=6 Ack=1 Win=65472 Len=5"
"13","0.967544","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=11 Win=64702 Len=0"
"14","1.197199","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=4 Ack=9 Win=65252 Len=1"
"15","1.201144","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=9 Ack=5 Win=65378 Len=4"
"16","1.311946","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=5 Ack=13 Win=65248 Len=0"
"17","1.456529","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=11 Ack=1 Win=65472 Len=5"
"18","1.497729","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=16 Win=64697 Len=0"
"19","1.517803","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=5 Ack=13 Win=65248 Len=1"
"20","1.520818","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=13 Ack=6 Win=65377 Len=4"
"21","1.611723","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=6 Ack=17 Win=65244 Len=0"
"22","1.842611","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=6 Ack=17 Win=65244 Len=1"
"23","1.883557","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=17 Ack=7 Win=65376 Len=0"
"24","1.973797","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=16 Ack=1 Win=65472 Len=5"
"25","2.017812","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=21 Win=64692 Len=0"
"26","2.504292","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=21 Ack=1 Win=65472 Len=5"
"27","2.544725","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=26 Win=64687 Len=0"
"28","2.655262","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=7 Ack=17 Win=65244 Len=1"
"29","2.657992","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=17 Ack=8 Win=65375 Len=4"
"30","2.714556","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=8 Ack=21 Win=65240 Len=1"
"31","2.716861","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=21 Ack=9 Win=65374 Len=4"
"32","3.023201","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=9 Ack=25 Win=65236 Len=1"
"33","3.027722","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=26 Ack=1 Win=65472 Len=5"
"34","3.063673","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=25 Ack=10 Win=65373 Len=0"
"35","3.068713","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=31 Win=64682 Len=0"
"36","3.302980","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=10 Ack=25 Win=65236 Len=1"
"37","3.305469","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=25 Ack=11 Win=65372 Len=4"
"38","3.485253","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=11 Ack=29 Win=65232 Len=0"
"39","3.492822","25.94.9.254","25.255.255.255","NBNS","92","Name query NB WORKGROUP<1c>"
"40","3.556482","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=31 Ack=1 Win=65472 Len=5"
"41","3.597650","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=36 Win=64677 Len=0"
"42","3.949127","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=11 Ack=29 Win=65232 Len=1"
"43","3.953877","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=29 Ack=12 Win=65371 Len=4"
"44","4.036026","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=12 Ack=33 Win=65228 Len=1"
"45","4.074126","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=36 Ack=1 Win=65472 Len=5"
"46","4.076613","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=33 Ack=13 Win=65370 Len=0"
"47","4.115737","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=41 Win=64672 Len=0"
"48","4.313409","25.94.9.254","25.255.255.255","NBNS","92","Name query NB WORKGROUP<1c>"
"49","4.313538","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=13 Ack=33 Win=65228 Len=1"
"50","4.316330","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=33 Ack=14 Win=65369 Len=4"
"51","4.603770","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=41 Ack=1 Win=65472 Len=5"
"52","4.613896","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=14 Ack=37 Win=65224 Len=1"
"53","4.616628","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=37 Ack=15 Win=65368 Len=4"
"54","4.644910","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=46 Win=64667 Len=0"
"55","4.838494","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=15 Ack=41 Win=65220 Len=0"
"56","5.006861","fe80::d8ec:85df:8c06:42b1","ff02::1:fff6:6c38","ICMPv6","86","Neighbor Solicitation for fe80::a633:d7ff:fef6:6c38 from 7a:79:19:72:9d:fd"
"57","5.103957","25.94.9.254","25.255.255.255","NBNS","92","Name query NB WORKGROUP<1c>"
"58","5.134027","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=46 Ack=1 Win=65472 Len=5"
"59","5.175377","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=51 Win=64662 Len=0"
"60","5.275948","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=15 Ack=41 Win=65220 Len=1"
"61","5.278419","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=41 Ack=16 Win=65367 Len=4"
"62","5.336924","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=16 Ack=45 Win=65216 Len=1"
"63","5.377728","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=45 Ack=17 Win=65366 Len=0"
"64","5.633529","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=17 Ack=45 Win=65216 Len=1"
"65","5.650620","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=51 Ack=1 Win=65472 Len=5"
"66","5.673620","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=45 Ack=18 Win=65365 Len=0"
"67","5.690613","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=56 Win=64657 Len=0"
"68","6.153367","25.59.115.113","239.255.255.250","SSDP","215","M-SEARCH * HTTP/1.1 "
"69","6.180035","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=56 Ack=1 Win=65472 Len=5"
"70","6.221548","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=61 Win=64652 Len=0"
"71","6.343962","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=18 Ack=45 Win=65216 Len=1"
"72","6.346905","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=45 Ack=19 Win=65364 Len=4"
"73","6.396824","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=19 Ack=49 Win=65212 Len=1"
"74","6.400187","25.114.157.253","25.59.115.113","TCP","58","1234  >  53036 [PSH, ACK] Seq=49 Ack=20 Win=65363 Len=4"
"75","6.679966","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [ACK] Seq=20 Ack=53 Win=65208 Len=0"
"76","6.680020","25.59.115.113","25.114.157.253","TCP","60","53036  >  1234 [PSH, ACK] Seq=20 Ack=53 Win=65208 Len=1"
"77","6.709234","25.94.9.254","25.114.157.253","TCP","60","55805  >  1234 [PSH, ACK] Seq=61 Ack=1 Win=65472 Len=5"
"78","6.720571","25.114.157.253","25.59.115.113","TCP","54","1234  >  53036 [ACK] Seq=53 Ack=21 Win=65362 Len=0"
"79","6.750011","25.114.157.253","25.94.9.254","TCP","54","1234  >  55805 [ACK] Seq=1 Ack=66 Win=64647 Len=0"
